term,freq,doc_freq,mut_inf_sco
wanderings,1,2,7.3007682065800275
that,3,1757,1.6211645876209848
american,1,18,5.1035436292438074
sailor,29,35,7.805863155637033
worked,1,103,3.3591863989103365
for,2,1327,1.4963865333677102
some,2,295,3.000087211360098
character,1,54,4.004931340575698
in,2,3240,0.6037339589135424
the,13,12912,1.0929523540917792
sailors,29,35,7.805863155637033
"
",14,14593,1.0446754760874852
story,1,32,4.528179484340246
he,2,3817,0.43984251495468785
some,2,295,3.000087211360098
quarrel,1,6,6.2021559179119174
the,13,12912,1.0929523540917792
sailor,29,35,7.805863155637033
threatened,1,3,6.895303098471863
him,2,3817,0.43984251495468785
what,1,410,1.977758227441619
"
",14,14593,1.0446754760874852
ultimately,1,5,6.384477474705872
the,13,12912,1.0929523540917792
sailor,29,35,7.805863155637033
disgusted,1,6,6.2021559179119174
with,2,1925,1.1243813209780331
the,13,12912,1.0929523540917792
"
",14,14593,1.0446754760874852
two,1,195,2.7209158285762256
wandering,1,14,5.354858057524714
sailors,29,35,7.805863155637033
 ,8,1201,2.9824471067398246
americanos,1,1,7.993915387139972
perhaps,1,121,3.198124841543231
other,1,239,2.5174518352084614
sign,1,52,4.042671668558545
the,13,12912,1.0929523540917792
sailors,29,35,7.805863155637033
the,13,12912,1.0929523540917792
indian,1,23,4.858421171210823
"
",14,14593,1.0446754760874852
 ,8,1201,2.9824471067398246
as,6,1151,2.7372884476461445
the,13,12912,1.0929523540917792
sailors,29,35,7.805863155637033
say,1,535,1.7116486402439657
 ,8,1201,2.9824471067398246
is,5,4922,1.1018830686230714
been,5,4922,1.1018830686230714
a,9,4368,1.8090794470514506
"
",14,14593,1.0446754760874852
sailor,29,35,7.805863155637033
in,2,3240,0.6037339589135424
his,3,3013,1.081836136677781
time,1,339,2.167915279759522
hand,1,311,2.254122474960738
 ,8,1201,2.9824471067398246
as,6,1151,2.7372884476461445
sailor,29,35,7.805863155637033
as,6,1151,2.7372884476461445
dock,1,1,7.993915387139972
labourer,1,1,7.993915387139972
was,5,4922,1.1018830686230714
the,13,12912,1.0929523540917792
italian,4,41,5.666637681555555
sailor,29,35,7.805863155637033
whom,4,86,4.925862452006355
all,2,616,2.263815604166398
the,13,12912,1.0929523540917792
the,13,12912,1.0929523540917792
mediterranean,2,6,6.895303098471863
"
",14,14593,1.0446754760874852
sailor,29,35,7.805863155637033
come,2,320,2.9187415719061454
ashore,2,17,5.853849223643701
casually,1,3,6.895303098471863
but,1,824,1.2797448572305006
a,9,4368,1.8090794470514506
common,1,31,4.559928182654826
sailor,29,35,7.805863155637033
i,7,1601,2.561441823198571
would,1,618,1.5674269296822816
call,1,127,3.149728300681381
cargadores,1,83,3.5750747793433746
that,3,1757,1.6211645876209848
italian,4,41,5.666637681555555
sailor,29,35,7.805863155637033
of,4,7643,0.43866427301697886
whom,4,86,4.925862452006355
i,7,1601,2.561441823198571
of,4,7643,0.43866427301697886
that,3,1757,1.6211645876209848
genoese,1,9,5.796690809803753
sailor,29,35,7.805863155637033
who,1,356,2.118984656287942
like,2,382,2.7416419590933425
me,7,1601,2.561441823198571
an,1,660,1.501675552119501
original,1,2,7.3007682065800275
italian,4,41,5.666637681555555
sailor,29,35,7.805863155637033
whom,4,86,4.925862452006355
i,7,1601,2.561441823198571
allowed,1,27,4.698078521135643
chirruped,1,2,7.3007682065800275
softly,1,10,5.691330294145927
as,6,1151,2.7372884476461445
sailors,29,35,7.805863155637033
"
",14,14593,1.0446754760874852
do,1,655,1.5092801515047203
to,4,3999,1.0864101394130448
as,6,1151,2.7372884476461445
"
",14,14593,1.0446754760874852
a,9,4368,1.8090794470514506
sailor,29,35,7.805863155637033
of,4,7643,0.43866427301697886
course,1,89,3.5052790174078323
i,7,1601,2.561441823198571
to,4,3999,1.0864101394130448
a,9,4368,1.8090794470514506
"
",14,14593,1.0446754760874852
sailors,29,35,7.805863155637033
ear,1,42,4.256245768856604
on,1,1272,0.8455696432399047
such,1,108,3.3117841600157525
"
",14,14593,1.0446754760874852
the,13,12912,1.0929523540917792
old,2,302,2.976635550325048
sailors,29,35,7.805863155637033
aspect,1,20,4.9981831135859816
was,5,4922,1.1018830686230714
very,1,358,2.113382400739272
cast,1,22,4.902872933781657
the,13,12912,1.0929523540917792
old,2,302,2.976635550325048
sailor,29,35,7.805863155637033
with,2,1925,1.1243813209780331
all,2,616,2.263815604166398
his,3,3013,1.081836136677781
especially,1,15,5.285865186037762
as,6,1151,2.7372884476461445
to,4,3999,1.0864101394130448
sailors,29,35,7.805863155637033
it,1,1533,0.6589335082681582
was,5,4922,1.1018830686230714
different,1,16,5.221326664900191
his,3,3013,1.081836136677781
leisure,1,10,5.691330294145927
this,1,578,1.6343415184675947
sailor,29,35,7.805863155637033
felt,1,119,3.2147918940284432
himself,1,338,2.1708694916569535
"
",14,14593,1.0446754760874852
boats,1,50,4.0818923817118264
ropes,1,14,5.354858057524714
chains,1,11,5.596020114341602
sailors,29,35,7.805863155637033
 ,8,1201,2.9824471067398246
of,4,7643,0.43866427301697886
a,9,4368,1.8090794470514506
die,1,81,3.5994662324675337
ha,2,31,5.253075363214771
ha,2,31,5.253075363214771
sailors,29,35,7.805863155637033
like,2,382,2.7416419590933425
myself,2,37,5.0761446550556935
there,1,514,1.7516921216848074
too,1,221,2.5957526856222195
 ,8,1201,2.9824471067398246
a,9,4368,1.8090794470514506
sailor,29,35,7.805863155637033
i,7,1601,2.561441823198571
may,1,119,3.2147918940284432
let,1,120,3.206423644357926
 ,8,1201,2.9824471067398246
nostromo,1,309,2.260574110242227
the,13,12912,1.0929523540917792
sailor,29,35,7.805863155637033
whom,4,86,4.925862452006355
i,7,1601,2.561441823198571
"
",14,14593,1.0446754760874852
married,1,13,5.428966029678436
myself,2,37,5.0761446550556935
a,9,4368,1.8090794470514506
sailor,29,35,7.805863155637033
should,1,89,3.5052790174078323
"
",14,14593,1.0446754760874852
exercise,1,14,5.354858057524714
runaway,1,1,7.993915387139972
italian,4,41,5.666637681555555
"
",14,14593,1.0446754760874852
sailor,29,35,7.805863155637033
for,2,1327,1.4963865333677102
a,9,4368,1.8090794470514506
foreman,1,5,6.384477474705872
 ,8,1201,2.9824471067398246
a,9,4368,1.8090794470514506
mediterranean,2,6,6.895303098471863
sailor,29,35,7.805863155637033
come,2,320,2.9187415719061454
ashore,2,17,5.853849223643701
to,4,3999,1.0864101394130448
