Source	Type	Target	Weight
Warwick	undirected	York	12
KingEdward	undirected	York	6
KingEdward	undirected	Montague	5
Gloucester	undirected	Montague	3
Gloucester	undirected	York	12
Norfolk	undirected	York	3
Gloucester	undirected	Norfolk	1
Gloucester	undirected	Warwick	27
KingHenry	undirected	Warwick	20
KingHenry	undirected	Northumberland	4
Clifford	undirected	Northumberland	8
Clifford	undirected	Westmorland	5
KingHenry	undirected	Westmorland	3
Clifford	undirected	KingHenry	6
KingHenry	undirected	York	13
Exeter	undirected	York	7
Exeter	undirected	Warwick	3
Clifford	undirected	Warwick	7
Warwick	undirected	Westmorland	3
Northumberland	undirected	Warwick	5
Northumberland	undirected	Westmorland	3
Gloucester	undirected	KingHenry	16
Gloucester	undirected	KingEdward	85
Northumberland	undirected	York	7
Exeter	undirected	KingHenry	11
Norfolk	undirected	Warwick	1
Montague	undirected	Norfolk	1
KingHenry	undirected	Montague	2
KingHenry	undirected	QueenMargaret	15
PrinceEdward	undirected	QueenMargaret	9
KingHenry	undirected	PrinceEdward	3
Montague	undirected	York	3
1Messenger	undirected	York	2
SirJohn	undirected	York	2
Clifford	undirected	Rutland	13
Clifford	undirected	Tutor	4
Clifford	undirected	York	4
Clifford	undirected	QueenMargaret	6
Northumberland	undirected	QueenMargaret	3
QueenMargaret	undirected	York	3
1Messenger	undirected	Gloucester	2
1Messenger	undirected	KingEdward	2
KingEdward	undirected	Warwick	31
2Messenger	undirected	Warwick	2
Clifford	undirected	PrinceEdward	1
3Messenger	undirected	Clifford	2
Northumberland	undirected	PrinceEdward	1
KingEdward	undirected	PrinceEdward	4
KingEdward	undirected	QueenMargaret	11
Clarence	undirected	KingEdward	26
Clarence	undirected	Clifford	1
Clifford	undirected	Gloucester	10
QueenMargaret	undirected	Warwick	15
Gloucester	undirected	Northumberland	1
PrinceEdward	undirected	Warwick	4
Gloucester	undirected	QueenMargaret	6
Clarence	undirected	Warwick	14
KingHenry	undirected	Son	5
Father	undirected	KingHenry	5
Father	undirected	Son	3
Exeter	undirected	QueenMargaret	1
Clifford	undirected	KingEdward	1
Clarence	undirected	Gloucester	23
1Keeper	undirected	2Keeper	4
2Keeper	undirected	KingHenry	14
1Keeper	undirected	KingHenry	9
KingEdward	undirected	LadyGrey	43
Gloucester	undirected	LadyGrey	6
Clarence	undirected	LadyGrey	1
KingEdward	undirected	Nobleman	2
KingLewis	undirected	QueenMargaret	21
Oxford	undirected	Warwick	9
KingLewis	undirected	Warwick	13
KingLewis	undirected	LadyBona	3
KingLewis	undirected	PrinceEdward	3
1Post	undirected	KingLewis	1
1Post	undirected	Oxford	1
Oxford	undirected	PrinceEdward	2
LadyBona	undirected	Warwick	2
LadyBona	undirected	QueenMargaret	3
Clarence	undirected	Somerset	1
Gloucester	undirected	Somerset	2
Hastings	undirected	Montague	4
Clarence	undirected	Hastings	1
2Post	undirected	KingEdward	11
2Post	undirected	Clarence	1
Hastings	undirected	KingEdward	6
1Watchman	undirected	2Watchman	5
2Watchman	undirected	3Watchman	3
1Watchman	undirected	3Watchman	3
2Watchman	undirected	Warwick	1
1Watchman	undirected	Warwick	1
2Watchman	undirected	Somerset	1
Somerset	undirected	Warwick	6
KingEdward	undirected	Oxford	3
LadyGrey	undirected	Rivers	9
Gloucester	undirected	Huntsman	2
Huntsman	undirected	KingEdward	2
Gloucester	undirected	Hastings	4
KingHenry	undirected	Lieutenant	2
Clarence	undirected	KingHenry	5
KingHenry	undirected	Somerset	2
3Post	undirected	Warwick	4
Oxford	undirected	Somerset	5
Hastings	undirected	Mayor	2
KingEdward	undirected	Mayor	4
Gloucester	undirected	Mayor	1
KingEdward	undirected	Montgomery	7
Gloucester	undirected	Montgomery	2
Hastings	undirected	Montgomery	2
Hastings	undirected	Soldier	1
Montgomery	undirected	Soldier	1
Mayor	undirected	Montgomery	1
Montague	undirected	Oxford	1
KingHenry	undirected	Oxford	1
Exeter	undirected	KingEdward	1
4Messenger	undirected	Warwick	2
5Messenger	undirected	Warwick	2
Somerville	undirected	Warwick	5
KingEdward	undirected	Somerville	1
Gloucester	undirected	Oxford	1
Montague	undirected	Warwick	1
KingEdward	undirected	Somerset	1
QueenMargaret	undirected	Somerset	3
6Messenger	undirected	PrinceEdward	1
6Messenger	undirected	Oxford	1
Oxford	undirected	QueenMargaret	1
Gloucester	undirected	PrinceEdward	3
Clarence	undirected	PrinceEdward	1
Clarence	undirected	QueenMargaret	5
