Source	Type	Target	Weight
Clarence	undirected	Richard	13
Brakenbury	undirected	Richard	7
Brakenbury	undirected	Clarence	1
Hastings	undirected	Richard	17
Anne	undirected	Richard	80
1Gentleman	undirected	Richard	2
2Gentleman	undirected	Anne	2
Grey	undirected	Rivers	4
Grey	undirected	QueenElizabeth	6
QueenElizabeth	undirected	Rivers	3
Buckingham	undirected	Grey	1
Buckingham	undirected	Stanley	3
QueenElizabeth	undirected	Stanley	7
Buckingham	undirected	QueenElizabeth	5
QueenElizabeth	undirected	Richard	102
Grey	undirected	Richard	2
Richard	undirected	Rivers	11
QueenElizabeth	undirected	QueenMargaret	14
QueenMargaret	undirected	Richard	27
QueenMargaret	undirected	Rivers	3
Hastings	undirected	QueenElizabeth	1
Hastings	undirected	Rivers	4
Dorset	undirected	Rivers	2
Buckingham	undirected	Dorset	2
Buckingham	undirected	QueenMargaret	9
Hastings	undirected	QueenMargaret	2
Dorset	undirected	QueenMargaret	2
Dorset	undirected	Richard	2
Buckingham	undirected	Richard	85
Buckingham	undirected	Rivers	3
Catesby	undirected	Richard	23
Catesby	undirected	QueenElizabeth	1
1Murderer	undirected	Richard	5
Clarence	undirected	Keeper	10
Brakenbury	undirected	Keeper	1
1Murderer	undirected	Brakenbury	5
2Murderer	undirected	Brakenbury	2
1Murderer	undirected	2Murderer	40
1Murderer	undirected	Clarence	26
2Murderer	undirected	Clarence	16
KingEdward	undirected	Rivers	2
Hastings	undirected	KingEdward	3
KingEdward	undirected	QueenElizabeth	3
Dorset	undirected	KingEdward	2
Dorset	undirected	Hastings	1
Buckingham	undirected	KingEdward	3
KingEdward	undirected	Richard	5
Richard	undirected	Stanley	23
KingEdward	undirected	Stanley	5
Boy	undirected	Duchess	12
Daughter	undirected	Duchess	5
Boy	undirected	Daughter	3
Boy	undirected	QueenElizabeth	4
Duchess	undirected	QueenElizabeth	22
Daughter	undirected	QueenElizabeth	4
Dorset	undirected	Duchess	1
Duchess	undirected	Richard	22
1Citizen	undirected	2Citizen	4
2Citizen	undirected	3Citizen	8
1Citizen	undirected	3Citizen	9
Archbishop	undirected	Duchess	1
QueenElizabeth	undirected	York	2
Duchess	undirected	York	12
Archbishop	undirected	QueenElizabeth	2
1Messenger	undirected	Archbishop	3
1Messenger	undirected	QueenElizabeth	3
1Messenger	undirected	Duchess	4
PrinceEdward	undirected	Richard	15
Mayor	undirected	Richard	6
Mayor	undirected	PrinceEdward	1
Buckingham	undirected	PrinceEdward	10
Hastings	undirected	PrinceEdward	2
Buckingham	undirected	Hastings	8
Buckingham	undirected	Cardinal	3
Cardinal	undirected	Hastings	1
PrinceEdward	undirected	York	8
Richard	undirected	York	21
Buckingham	undirected	York	1
Buckingham	undirected	Catesby	16
2Messenger	undirected	Hastings	11
Catesby	undirected	Hastings	13
Hastings	undirected	Stanley	8
Hastings	undirected	Pursuivant	5
Priest	undirected	Pursuivant	1
Hastings	undirected	Priest	2
Buckingham	undirected	Priest	1
Grey	undirected	Vaughan	1
Ratcliffe	undirected	Vaughan	1
Ratcliffe	undirected	Rivers	3
Ely	undirected	Stanley	2
Buckingham	undirected	Ely	3
Ely	undirected	Hastings	2
Ely	undirected	Richard	3
Hastings	undirected	Ratcliffe	2
Hastings	undirected	Lovell	2
Lovell	undirected	Richard	2
Buckingham	undirected	Mayor	11
Buckingham	undirected	Citizens	2
Anne	undirected	Duchess	3
Anne	undirected	QueenElizabeth	8
Brakenbury	undirected	QueenElizabeth	4
Anne	undirected	Brakenbury	1
Brakenbury	undirected	Stanley	1
Anne	undirected	Dorset	3
Dorset	undirected	QueenElizabeth	1
Duchess	undirected	Stanley	2
Anne	undirected	Stanley	1
Page	undirected	Richard	6
Richard	undirected	Tyrrel	18
Buckingham	undirected	Tyrrel	2
Ratcliffe	undirected	Richard	31
Duchess	undirected	QueenMargaret	8
Catesby	undirected	Ratcliffe	1
3Messenger	undirected	Stanley	1
3Messenger	undirected	4Messenger	1
4Messenger	undirected	5Messenger	1
5Messenger	undirected	Richard	4
5Messenger	undirected	6Messenger	1
6Messenger	undirected	Richard	1
Christopher	undirected	Stanley	4
Buckingham	undirected	Sheriff	4
Oxford	undirected	Richmond	1
Herbert	undirected	Oxford	1
Blunt	undirected	Herbert	1
Blunt	undirected	Richmond	5
Richard	undirected	Surrey	2
Norfolk	undirected	Richard	16
Richard	undirected	Richmond	3
Richmond	undirected	Stanley	9
GhostEdward	undirected	Richmond	1
GhostEdward	undirected	GhostHenryVI	1
GhostClarence	undirected	GhostHenryVI	1
GhostClarence	undirected	GhostRivers	1
GhostGrey	undirected	GhostRivers	1
GhostGrey	undirected	GhostVaughan	2
GhostRivers	undirected	GhostVaughan	1
GhostHastings	undirected	GhostRivers	1
GhostGrey	undirected	GhostHastings	1
GhostHastings	undirected	GhostVaughan	1
GhostEdward	undirected	GhostHastings	1
GhostHastings	undirected	GhostsYork	1
GhostAnne	undirected	GhostEdward	1
GhostAnne	undirected	GhostsYork	1
GhostAnne	undirected	GhostBuckingham	1
GhostBuckingham	undirected	Richard	1
1Lord	undirected	Richard	1
2Lord	undirected	Richard	1
1Lord	undirected	Richmond	3
2Lord	undirected	Richmond	3
7Messenger	undirected	Richard	2
