Source	Type	Target	Weight
LordBardolph	undirected	Porter	4
LordBardolph	undirected	Northumberland	15
Northumberland	undirected	Travers	2
Morton	undirected	Northumberland	8
LordBardolph	undirected	Morton	4
Falstaff	undirected	Page	14
Falstaff	undirected	Justice	65
Justice	undirected	Servant	7
Falstaff	undirected	Servant	7
Justice	undirected	Page	2
Archbishop	undirected	Mowbray	13
Hastings	undirected	Mowbray	6
Hastings	undirected	LordBardolph	10
Archbishop	undirected	LordBardolph	2
Archbishop	undirected	Hastings	10
Fang	undirected	Hostess	10
Hostess	undirected	Snare	3
Fang	undirected	Snare	1
Falstaff	undirected	Hostess	37
Falstaff	undirected	Fang	3
Hostess	undirected	Page	1
Hostess	undirected	Justice	7
Gower	undirected	Justice	4
Falstaff	undirected	Gower	4
Poins	undirected	PrinceHenry	43
Bardolph	undirected	PrinceHenry	10
Page	undirected	Poins	1
Page	undirected	PrinceHenry	11
Bardolph	undirected	Page	2
Bardolph	undirected	Poins	4
LadyNorthld	undirected	Northumberland	3
LadyPercy	undirected	Northumberland	3
LadyNorthld	undirected	LadyPercy	1
Drawer	undirected	Francis	4
Francis	undirected	Hostess	1
Doll	undirected	Hostess	15
Doll	undirected	Falstaff	29
Doll	undirected	Drawer	2
Hostess	undirected	Pistol	9
Falstaff	undirected	Pistol	30
Doll	undirected	Pistol	6
Bardolph	undirected	Doll	1
Bardolph	undirected	Falstaff	12
Page	undirected	Pistol	2
Bardolph	undirected	Hostess	5
Bardolph	undirected	Pistol	3
Doll	undirected	Page	1
Falstaff	undirected	PrinceHenry	17
Falstaff	undirected	Poins	7
Hostess	undirected	PrinceHenry	4
Doll	undirected	Poins	1
Doll	undirected	PrinceHenry	1
Peto	undirected	PrinceHenry	2
KingHenry	undirected	Warwick	26
Shallow	undirected	Silence	25
Bardolph	undirected	Shallow	16
Falstaff	undirected	Shallow	68
Falstaff	undirected	Silence	13
Moldy	undirected	Shallow	3
Falstaff	undirected	Moldy	5
Shadow	undirected	Shallow	1
Falstaff	undirected	Shadow	3
Falstaff	undirected	Wart	4
Feeble	undirected	Shallow	4
Falstaff	undirected	Feeble	7
Bullcalf	undirected	Falstaff	8
Bullcalf	undirected	Shallow	1
Bardolph	undirected	Bullcalf	1
Bardolph	undirected	Moldy	2
Bardolph	undirected	Feeble	3
Hastings	undirected	Messenger	1
Messenger	undirected	Mowbray	1
Mowbray	undirected	Westmorland	14
Archbishop	undirected	Westmorland	15
Hastings	undirected	Westmorland	3
Archbishop	undirected	Lancaster	8
Hastings	undirected	Lancaster	3
Lancaster	undirected	Westmorland	6
Lancaster	undirected	Mowbray	2
Coleville	undirected	Falstaff	8
Falstaff	undirected	Lancaster	14
Coleville	undirected	Lancaster	2
Gloucester	undirected	KingHenry	8
Clarence	undirected	Gloucester	4
Clarence	undirected	KingHenry	11
KingHenry	undirected	Westmorland	2
Harcourt	undirected	KingHenry	2
Clarence	undirected	Westmorland	1
Warwick	undirected	Westmorland	1
Clarence	undirected	Warwick	6
Gloucester	undirected	Warwick	2
PrinceHenry	undirected	Warwick	3
Clarence	undirected	PrinceHenry	4
Gloucester	undirected	PrinceHenry	6
KingHenry	undirected	PrinceHenry	9
KingHenry	undirected	Lancaster	2
Davy	undirected	Shallow	21
Justice	undirected	Warwick	11
Justice	undirected	Lancaster	6
Clarence	undirected	Lancaster	3
Gloucester	undirected	Lancaster	3
Lancaster	undirected	Warwick	2
Gloucester	undirected	Justice	1
Clarence	undirected	Justice	1
Justice	undirected	PrinceHenry	5
Lancaster	undirected	PrinceHenry	2
Davy	undirected	Silence	3
Bardolph	undirected	Davy	1
Davy	undirected	Falstaff	1
Pistol	undirected	Silence	3
Pistol	undirected	Shallow	10
Beadle	undirected	Hostess	3
Beadle	undirected	Doll	4
Groom1	undirected	Groom2	1
Groom2	undirected	Groom3	1
Falstaff	undirected	Groom3	1
Falstaff	undirected	KingHenry	3
Justice	undirected	KingHenry	1
Justice	undirected	Pistol	1
Lancaster	undirected	Pistol	1
