term,freq,doc_freq,mut_inf_sco
mediterranean,6,6,8.242178629623998
dock,1,1,8.242178629623998
labourer,1,1,8.242178629623998
bawling,1,1,8.242178629623998
runaway,1,1,8.242178629623998
wanderings,1,2,7.549031449064053
threatened,1,2,7.549031449064053
original,1,2,7.549031449064053
destitute,1,2,7.549031449064053
selfdenial,1,2,7.549031449064053
disgusted,1,3,7.143566340955889
casually,1,3,7.143566340955889
foreman,1,3,7.143566340955889
quarrel,1,4,6.8558842685041075
ultimately,1,5,6.632740717189898
ashore,3,17,6.507577574235892
italian,4,32,6.162737087944163
genoese,1,9,6.044954052287779
worked,1,10,5.939593536629952
leisure,1,10,5.939593536629952
exercise,1,10,5.939593536629952
married,1,11,5.844283356825628
resembled,1,12,5.757271979835998
absurd,1,14,5.603121300008739
orders,1,17,5.408965285567782
cast,1,17,5.408965285567782
american,1,18,5.351806871727834
discovered,1,18,5.351806871727834
trust,1,19,5.297739650457558
eh,1,20,5.246446356070008
allowed,1,21,5.197656191900576
whom,4,86,5.174125694490382
common,1,31,4.808191425138852
myself,1,37,4.631260716979774
wharf,1,41,4.52860656291969
cargadores,2,83,4.516485202387346
call,1,45,4.435516139853679
come,3,139,4.406316985161417
always,1,72,3.9655125106079434
got,1,76,3.9114452893376677
felt,1,83,3.8233380218274005
course,1,89,3.7535422598918586
should,1,89,3.7535422598918586
let,1,112,3.523679758328904
those,1,117,3.4800046948262424
may,1,119,3.463055136512469
just,1,123,3.429994274251581
some,2,295,3.248350453844124
mitchell,1,151,3.2248987928090744
nostromo,2,309,3.2019845332861983
hand,1,169,3.1122799147009252
who,2,356,3.0603950793319132
people,1,183,3.0326924767825774
i,6,1255,2.8990472472861692
mine,1,216,2.8669002219398334
too,1,221,2.844015928106246
as,4,1151,2.5800865820220067
time,1,291,2.568855362452506
old,1,293,2.562006020606931
all,2,616,2.5120788466504242
himself,1,338,2.41913273414098
me,1,347,2.3928538496771394
like,1,361,2.3533006712911178
a,12,4368,2.3450247619872577
what,1,410,2.226021469925645
from,2,866,2.171440901621509
that,4,1757,2.1571099025567917
up,1,502,2.0235785099322694
been,1,542,1.9469126281843523
this,1,578,1.8826047609516212
would,1,618,1.815690172166308
with,3,1925,1.7781096715702236
have,1,651,1.7636689874154292
an,1,660,1.7499387946035274
for,2,1327,1.7446497758517363
is,1,817,1.5365395347639956
but,1,824,1.528008099714527
him,1,832,1.5183461888027898
his,3,3013,1.330099379161807
the,8,12912,0.8557077807941045
had,1,1887,0.6994350842554483
of,4,7643,0.686927515501005
to,2,3999,0.6415262013371256
was,1,2039,0.6219638590495434
in,1,3240,0.1588500208376235
